Secuencia,Nombre común,Diámetro (cm),Altura total (m),Altura comercial (m),Volumen comercial (m3),Valor comercial aproximado (CRC)
D2469,guanacaste,110,18,4,1.9007,138984.12
D2470,guarumo,16.5,9,1.5,0,0
D2471,guarumo,21,7,1.5,0,0
D2472,guarumo,26,8,1.5,0,0
D2473,pochote,100,18,6,2.3562,68235.39
D2474,guarumo,20,6,1.5,0,0
D2475,sietecueros-pavillo,31,9,2,0,2185.81
D2476,cocobolo,38,11,4,0,19542.16
D2477,carao,45,10,3,0,0
D2478,guayacán,34,12,2.5,0,4108.34
D2479,guayaquil,110,20,5,2.3758,63643.72
D2480,carao,67,12,1.5,0,0
D2481,guarumo,25.6,9,2,0,0
D2482,guácimo,28,10,2,0,1225.96
D2483,guácimo,32,11,2,0,1601.26
D2484,guácimo,29,11,2,0,1315.10
D2485,nance,49,5,2,0,0
D2486,nance,48,6,2,0,0
D2487,guarumo,32,12,2,0,0
D2488,guarumo,27,12,2,0,0
D2489,guarumo,23,12,2,0,0
D2490,guarumo,25.5,12,2,0,0
D2491,guaba,19,7,1.3,0,0
D2492,guácimo,34,6,1.5,0,1355.75
D2493,guácimo,18.5,6,1.3,0,347.87
D2494,mora,50,14,2.5,0,7996.34
D2495,guanacaste blanco,92.5,18,2.5,1,61424.74
D2496,laurel,29,12,2,0,2701.92
D2497,guayaquil,39,12,2,0,3200.07
D2498,laurel,16.5,9,2,0,874.67
D2499,carao,52.5,14,2,0,0
D2500,guácimo,34,9,2,0,1807.67
D2501,guácimo,25,9,1.5,0,733.00
D2502,guanacaste blanco,71,18,3,1,43426.79
D2503,guachipelín,41.5,14,3,0,7344.90
D2504,mora,23,8,1.5,0,1015.21
D2505,guachipelín,18,7,1.5,0,690.88
D2506,roble sabana,46,15,5,0,13235.39
D2507,cenízaro,98,15,3,1.1314,74953.68
D2508,guaitil,33.6,4,1.5,0,0
D2509,guachipelín,54.4,6,2,0,8413.88
D2510,guácimo,28.4,8,1.3,0,819.81
D2511,guácimo,35.4,8,1.3,0,1273.74
D2512,guácimo,27.7,8,1.3,0,779.89
D2513,guácimo,26.8,8,1.3,0,730.04
D2514,guácimo,30.2,8,1.3,0,927.02
D2515,cocobolo,47.3,9,1.5,0,11354.26
D2516,nance,38.6,6,1.5,0,0
D2517,guaitil,21.4,8,2,0,0
D2518,laurel,42.7,15,5,0,14644.44
D2519,cocobolo,47.6,10,1.5,0,11498.75
D2520,guaitil,16.5,6,1.5,0,0
D2521,laurel,19.1,5,1.5,0,879.03
D2522,cocobolo,61,11,2,0,25178.80
D2523,cocobolo,33.8,9,2,0,7730.52
D2524,cocobolo,34.7,9,1.5,0,6110.77
D2525,guaitil,24,5,2,0,0
D2526,sietecueros-pavillo,27.2,8,2,0,1682.78
D2527,sietecueros-pavillo,25,8,2,0,1421.57
D2528,sietecueros-pavillo,20,8,2,0,909.81
D2529,guachipelín,22,5,1.3,0,894.45
D2530,guachipelín,23.9,5,1.3,0,1055.62
D2531,carao,49.9,9,2,0,0
D2532,carao,54.3,9,1.5,0,0
D2533,guácimo,40,5,1.5,0,1876.47
D2534,guácimo,46.5,7,1.5,0,2535.88
D2535,guayaquil,33.5,10,4,0,4722.26
D2536,guachipelín,42.3,7,1.3,0,3306.68
D2537,guachipelín,41.4,7,1.3,0,3167.47
D2538,guaitil,21.7,7,2,0,0
D2539,guácimo,47.7,7,1.5,0,2668.45
D2540,carao,59.6,10,3,0,0
D2541,carao,15.4,10,1.5,0,0
D2542,carao,48,10,2,0,0
D2543,cenízaro,54.2,15,3,0,22926.59
D2544,cenízaro,71.1,14,3,1,39453.00
D2545,laurel,38.6,16,6,0,14360.61
D2546,guácimo,42.8,7,1.5,0,2148.37
D2547,guachipelín,21.5,6,2,0,1314.24
D2548,guácimo,35.9,6,1.5,0,1511.51
D2549,guaitil,20.5,7,2,0,0
D2550,guácimo,33,7,1.3,0,1106.88
D2551,guayaquil,35.4,8,2.5,0,3295.69
D2552,guaitil,15.8,3,1.5,0,0
D2553,carao,25.8,8,2,0,0
D2554,carao,21,3,2,0,0
D2555,carao,19.4,3,1.5,0,0
D2556,guácimo,23.5,6,1.5,0,647.68
D2557,carao,28.8,9,2.5,0,0
D2558,guachipelín,33.8,8,1.5,0,2436.09
D2559,guachipelín,19.2,8,1.3,0,681.26
D2560,guachipelín,45.5,12,3,0,8829.02
D2561,guachipelín,28.1,6,2,0,2244.97
D2562,guácimo,23,6,1.3,0,537.69
D2563,guayaquil,16,6,1.5,0,403.95
D2564,guachipelín,33.7,8,2.5,0,4036.16
D2565,guachipelín,19.1,8,1.3,0,674.18
D2566,carao,15.7,6,2,0,0
D2567,guayaquil,45.3,12,2.5,0,5396.80
D2568,sietecueros-pavillo,23,6,2,0,1203.22
